time,x-rotation,y-rotation,z-rotation
0.000,2.843,-0.732,-1.033
0.040,6.902,-1.387,-0.800
0.080,4.779,-1.433,-1.319
0.120,5.324,-1.597,-1.635
0.160,2.287,-1.524,0.423
0.200,1.284,-0.697,3.175
0.240,-2.237,-1.170,4.615
0.280,-2.039,-1.319,4.607
0.320,-1.852,2.576,6.345
0.360,0.328,6.780,9.680
0.400,-12.637,8.841,13.079
0.440,-3.163,12.877,13.350
0.480,3.666,14.611,14.745
0.520,-0.385,13.575,12.774
0.560,3.079,7.069,7.069
0.600,2.885,1.399,4.455
0.640,-1.616,3.338,4.466
0.680,5.244,7.851,6.532
0.720,-0.137,9.127,7.782
0.760,-6.780,6.471,3.788
0.800,-2.599,3.739,-0.171
0.840,3.022,3.651,-1.421
0.880,3.975,3.647,-1.822
0.920,3.510,3.159,-2.180
0.960,4.505,3.274,-2.172
1.000,3.216,2.489,-1.444
1.040,1.120,1.997,-1.723
1.080,0.716,1.974,-2.767
1.120,0.598,1.883,-2.454
1.160,0.286,2.172,-1.936
1.200,4.184,2.481,-2.721
1.240,8.384,1.978,-4.162
1.280,5.964,2.195,-4.360
1.320,4.123,2.797,-3.902
1.360,3.445,2.763,-3.243
1.400,2.245,1.505,-2.611
1.440,0.316,1.387,-2.630
1.480,0.164,2.203,-2.313
1.520,-0.835,1.883,-2.546
1.560,-0.206,1.696,-2.732
1.600,0.328,2.172,-2.721
1.640,2.233,1.928,-2.729
1.680,2.793,1.555,-1.917
1.720,0.796,0.705,-1.734
1.760,0.503,0.675,-2.077
1.800,2.336,0.979,-2.321
1.840,2.561,0.850,-2.237
1.880,1.574,1.056,-2.146
1.920,2.409,0.972,-2.618
1.960,4.242,0.655,-2.786
2.000,3.445,1.044,-1.974
2.040,2.477,1.654,-0.865
2.080,3.285,1.521,-0.427
2.120,0.979,0.903,-0.434
2.160,-1.288,-0.454,-0.526
2.200,0.328,0.038,-0.579
2.240,0.553,0.267,-0.518
2.280,0.469,0.240,-0.610
2.320,0.530,-0.046,-0.385
2.360,0.339,0.160,-0.351
2.400,-0.587,0.675,-0.553
2.440,-0.995,0.152,-0.663
2.480,-0.781,-0.431,-0.899
2.520,-0.968,0.324,-1.178
2.560,0.065,0.598,-1.086
2.600,0.191,0.694,-0.766
2.640,0.716,1.486,-0.915
2.680,1.970,1.993,-1.368
2.720,2.835,2.001,-1.334
2.760,2.130,1.475,-1.101
2.800,2.378,0.777,-1.181
2.840,1.543,0.842,-0.297
2.880,0.892,0.987,0.107
2.920,1.772,0.511,-0.393
2.960,0.553,-0.057,-0.339
3.000,0.088,0.168,-0.408
3.040,1.623,0.248,-0.564
3.080,1.292,0.423,-0.313
3.120,0.202,0.095,-0.476
3.160,0.236,0.160,-1.101
3.200,-0.030,0.549,-0.987
3.240,-1.136,1.048,-0.724
3.280,0.499,0.633,-0.579
3.320,-0.800,0.393,-0.648
3.360,0.046,-0.191,-0.713
3.400,0.991,-0.473,-0.465
3.440,0.709,0.141,-0.004
3.480,0.480,0.530,0.042
3.520,0.133,0.545,-0.019
3.560,0.743,0.537,-0.046
3.600,0.404,0.514,0.053
3.640,0.880,0.354,-0.168
3.680,0.877,0.400,-0.400
3.720,2.077,0.579,-0.606
3.760,1.593,0.629,-0.610
3.800,0.587,1.098,0.160
3.840,-0.072,2.412,1.265
3.880,0.671,2.561,1.437
3.920,0.633,1.456,-0.061
3.960,0.454,0.819,-1.132
4.000,0.785,0.877,-1.018
4.040,0.469,0.907,-1.292
4.080,1.200,1.223,-1.845
4.120,2.744,1.513,-2.405
4.160,2.999,0.838,-2.870
4.200,1.128,0.591,-2.420
4.240,-0.175,1.433,-1.349
4.280,2.210,2.473,-0.164
4.320,-0.103,2.530,0.427
4.360,0.126,2.321,0.145
4.400,-2.157,2.519,0.591
4.440,-5.934,2.637,1.498
4.480,-8.544,2.595,1.216
4.520,-5.675,1.742,-1.452
4.560,-1.132,2.085,-3.350
4.600,-1.292,5.118,-0.903
4.640,-5.446,12.717,5.545
4.680,-5.484,27.256,17.790
4.720,-4.962,51.582,41.925
4.760,-17.584,79.684,70.530
4.800,-8.365,69.874,74.108
4.840,39.813,23.472,47.942
4.880,37.740,-14.455,1.475
4.920,25.816,-42.755,-44.360
